"citation_key","inclusion_1","inclusion_2","ec_org_level","comment"
"Lynch2002","no","NA","NA","-"
"Lyubarova2018","no","NA","NA","-"
"Lyytinen1996","no","NA","NA","-"
"Ma2008","no","NA","NA","-"
"Ma2021","no","NA","NA","-"
"Maass2012","no","NA","NA","-"
"Maccrory2019","no","NA","NA","-"
"Macfadyen2013","no","NA","NA","-"
"Machiridza2016","no","NA","NA","-"
"Macintyre1952","no","NA","NA","-"
"Magnusson2004","yes","TODO","TODO","-"
"Maguirerosier2016","no","NA","NA","-"
"Mahfoudhi2008","no","NA","NA","-"
"Maier2013","no","NA","NA","-"
"Makkonen2012","no","NA","NA","-"
"Makkonen2017","no","NA","NA","-"
"Malaurent2011","no","NA","NA","-"
"Malaurent2015","no","NA","NA","-"
"Malladi2012","no","NA","NA","-"
"Mani2005","no","NA","NA","-"
"Mani2010","no","NA","NA","-"
"Marabelli2010","no","NA","NA","-"
"Marchetti1999","no","NA","NA","-"
"Mardorossian2018","no","NA","NA","-"
"Marett2009","no","NA","NA","-"
"Marina2019","no","NA","NA","-"
"Markus2004","yes","TODO","TODO","-"
"Markus2018","no","NA","NA","-"
"Masterman2014","no","NA","NA","-"
"Mathrani2007","no","NA","NA","-"
"Mathrani2007a","no","NA","NA","-"
"Matsumoto2018","no","NA","NA","-"
"Mavengere2020","no","NA","NA","-"
"Maydeuolivares2017","no","NA","NA","-"
"Mayr2017","no","NA","NA","-"
"Mccormack2012","no","NA","NA","-"
"Mcgill1924","no","NA","NA","-"
"Mckay2007","no","NA","NA","-"
"Mckenna2012","no","NA","NA","-"
"Mckinney2009","no","NA","NA","-"
"Mclaren2004","no","NA","NA","-"
"Mclaren2011","no","NA","NA","-"
"Mcleod2008","no","NA","NA","-"
"Mcmurtrey2012","no","NA","NA","-"
"Meissonier2009","no","NA","NA","-"
"Meissonier2013","no","NA","NA","-"
"Meissonier2015","no","NA","NA","-"
"Menguc2016","yes","TODO","TODO","-"
"Menon2012","no","NA","NA","-"
"Merrill2015","no","NA","NA","-"
"Mertens2020","no","NA","NA","-"
"Mettler2014","no","NA","NA","-"
"Mettler2014a","no","NA","NA","-"
